gestao_obras_id;nome_gestao_obras;cnpj_gestao_obras;eh_transportadora;eh_dona_de_tanque;taxa_litro_padrao;usos;erp_fornecedor_id;erp_razao_social;erp_cnpj;metodo;confianca;observacao
mrcb984g7ciwc;E M T CONSTRUTORA LTDA;;false;false;0.0000;entradas_combustivel:1;;;;nome_normalizado;baixa;"NAO ESCOLHIDO, dois candidatos: 76ff3a91-5bc9-43f5-828b-b7d3efdd0bbb ""E M T CONSTRUTORA LTDA"" CNPJ 05036194000107 (nome normalizado identico) e 199e9f13-5e76-4c07-b54e-27fdf857f39c ""EMT Construtora Ltda"" sem CNPJ (igual sem os espacos). Ha tambem c0500faa-e14a-4e22-afe9-91758a7d57db ""EMT"". E a propria EMT; usado em 1 entrada_combustivel de Arla (2000 L)"
mrcb97s0buj3b;EMT;;false;false;0.0000;entradas_material:3;c0500faa-e14a-4e22-afe9-91758a7d57db;EMT;;nome_normalizado;media;"nome identico e unico candidato exato, mas o ERP tem mais 2 cadastros da propria EMT (76ff3a91 E M T CONSTRUTORA LTDA CNPJ 05036194000107 e 199e9f13 EMT Construtora Ltda). Tiago confirma qual e o ""EMT"" das entradas de material"
mnx9g4currw6p;EMT TRANSPORTES;;true;false;0.0000;fretes:197,movimentos:691,pagamentos_frete:10,saidas_combustivel:480;CRIAR;;;CRIAR;certa;"decisao do Tiago: criar com eh_transportadora=true. Nao existe no ERP (busca por EMT achou EMT, E M T CONSTRUTORA LTDA, EMT Construtora Ltda e SEMTRANS; nenhum e a transportadora)"
mltn8gcw20fy8;ETAM Construtora;;true;false;0.0000;movimentos:16,pagamentos_frete:5;0830bcaa-0b9d-49bf-9ec6-c37c45f3a86f;CONSTRUTORA ETAM LTDA;22768840000131;tabela_6_1;alta;ordem das palavras invertida
mlqw42sq4lzm9;Formate;;false;false;0.0000;pedidos_material:13;2aea7dcb-9189-4e70-9abb-d290c7dbe9b6;PEDREIRA E EXTRACAO FORTALEZA, IMPORTACAO E EXPORTACAO LTDA;05660758000170;tabela_6_1;alta;"fantasia ""FORMATE-PEDREIRA E EXTRAÇÃO FORTALEZA"""
mrcb9zrfmliji;ICCAP IMPLEMENTOS RODOVIARIOS LTDA;;false;false;0.0000;entradas_material:4;857e1cc7-ffa2-4744-84eb-157f74be3824;ICCAP IMPLEMENTOS RODOVIARIOS LTDA;02377798000200;nome_normalizado;alta;
mrcba4wro0io5;JAPURA PNEUS S/A;;false;false;0.0000;entradas_material:1;9fcb627c-d55a-4f7e-9021-1ed84f265461;JAPURA PNEUS S/A;04214987002060;nome_normalizado;alta;
mt08la2o1a1ge;JOHN DEERE;;false;false;0.0000;entradas_material:2;CRIAR;;;CRIAR;certa;decisao do Tiago: criar. NAO e a JD COMERCIO E IMPORTACAO LTDA (43623f0b-205a-4cf7-8e07-3ac4e30e588a). Nenhum fornecedor com DEERE no ERP
mrcbal4i86cf1;JURUA AUTO PECAS;;false;false;0.0000;entradas_material:3;c97eda72-12ca-4d37-95b7-0e27170b1921;A L SANTIAGO;40787364000188;nome_normalizado;alta;casou pelo nome_fantasia JURUA AUTO PECAS
mrcbalvecs4fz;JUSCELINO A SOARES;;false;false;0.0000;entradas_material:2;a091339a-d739-423e-8770-6d5c47c16671;JUSCELINO A SOARES;;nome_normalizado;alta;ERP sem CNPJ/CPF, tipo pf
mrcbam9ew1u7s;JUVENAL RODRIGUES DE OLIVEIRA;;false;false;0.0000;entradas_material:8;4a86bae3-a121-4223-8c57-4c0690c3441b;JUVENAL RODRIGUES DE OLIVEIRA;52032929000104;nome_normalizado;alta;
mlqm8sux861qf;LMC Transportadora;;true;false;0.0000;fretes:33,movimentos:113,pagamentos_frete:6,saidas_combustivel:71;72ac4842-b092-4e6f-a8ac-50667076e0c2;LMC CAMELI & CIA LTDA;06987041000108;tabela_6_1;alta;
mrcbatm3j9cdx;LUBRIFIC MULTIMARCAS AC;;false;false;0.0000;entradas_material:2;c94b363b-7eb3-4fa2-9156-251a242db155;DM COMERCIO DE PROD. AUTOMOTIVOS LTDA;11472120000299;nome_normalizado;alta;casou pelo nome_fantasia LUBRIFIC MULTIMARCAS AC
mrcbbg9fd8f3f;M  M ACO PRONTO;;false;false;0.0000;entradas_material:1;61b5409c-3bce-4eaf-ba1c-3f2a0eb33106;CLESIO C SOUZA CORREIA LTDA;24158083000100;nome_normalizado;alta;casou pelo nome_fantasia M M ACO PRONTO
mrcbbeap6l6gb;MILENIUM LUBRIFICANTES;;false;false;0.0000;entradas_material:7;ba35fe96-a5fe-414a-8841-267358fa916b;MILENIUM LUBRIFICANTES;22761584011004;nome_normalizado;alta;
mst18q8tv2ng0;MS REVEST CUIABA;50.419.730/0001-08;false;false;0.0000;entradas_material:1;e8e16fec-8ea1-4901-a0e4-fb18c90cd126;MS REVEST CUIABA;50419730000108;cnpj;certa;CNPJ e nome batem
mrcbbjbzd1qy5;MVA COMERCIO DE PECAS PARA EQUIPAMENTOS RODOVIARIOS LTDA;;false;false;0.0000;entradas_material:1;d14db98f-ea33-4965-ba06-e66d37564f97;MVA COMERCIO DE PECAS PARA EQUIPAMENTOS RODOVIARIOS LTDA;31256054000146;nome_normalizado;alta;
mrcbblhb7882m;NISSEY CAMINHOES LTDA;;false;false;0.0000;entradas_material:24;35653ce4-5bff-4205-8a92-898c57b1cde8;NISSEY CAMINHOES LTDA;39845230000278;nome_normalizado;alta;
mrcbblw8i5pd6;NISSEY MAQUINAS AGRICOLA;;false;false;0.0000;entradas_material:12;1abc3ed6-4929-4d90-9c07-4ec7df57af64;NISSEY MAQUINAS AGRICOLA;07527707000523;nome_normalizado;alta;
mrcbbn52larop;NOROESTE MAQUINAS E EQUIPAMENTOS LTDA;;false;false;0.0000;entradas_material:2;a8a2b55b-2d08-4a53-94b0-4294d46845a6;NOROESTE MAQUINAS E EQUIPAMENTOS LTDA;18918142000106;nome_normalizado;alta;
mrcbbnhonvook;NORTE - AUTO PEÇAS;;false;false;0.0000;entradas_material:8;9114b412-be38-47fa-b54f-4207d60bb62c;NORTE COM. PECAS E ACESS. P/ VEIC. LTDA;34538850000755;nome_normalizado;alta;casou pelo nome_fantasia NORTE - AUTO PEÇAS
mrmmwa1wum89g;Petroleo Sabba;;false;false;0.0000;entradas_combustivel:6;210176d5-51b0-d2cb-c4a9-06a89b973d67;PETRÓLEO SABBÁ S.A.;04169215001910;nome_normalizado;alta;
mt3c7ptkvyj41;PODIUM AUTO CENTER;45.444.377/0001-78;false;false;0.0000;entradas_material:13;e1f1974b-04df-4c73-9633-6f150af2561e;PODIUM AUTO CENTER;;nome_normalizado;alta;"a origem tem CNPJ 45.444.377/0001-78 e o ERP esta sem CNPJ; nenhum fornecedor do ERP tem esse CNPJ. Completar o CNPJ no ERP"
mrcbc0vwggca9;POSTO DE MOLAS JABA;;false;false;0.0000;entradas_material:5;5effb39c-9e40-48d2-abc5-f06258a038c6;POSTO DE MOLAS JABA;36444311000197;nome_normalizado;alta;
mrc6m0jfvca02;Posto Progresso;;false;true;0.0000;depositos:1,movimentos:217,pagamentos_frete:10;3452d414-4671-4410-ba53-ca088d9b667a;AUTO POSTO PROGRESSO EIRELI;;tabela_6_1;alta;"ERP sem CNPJ; unico ""Progresso"" no ERP"
mrcbc4ar0ztpx;PRIMUS MATERIAL DE CONSTRUÇÃO;;false;false;0.0000;entradas_material:1;4361f423-20ce-4198-ae15-2ff190c406ed;PRIMUS MATERIAL DE CONSTRUÇÃO;18998273000132;nome_normalizado;alta;
mrcbc8v2t1cps;RAVMAQ COMERCIO DE PEÇAS LTDA;;false;false;0.0000;entradas_material:2;d1474f58-ccb4-4dce-9131-7ee56dd9da18;RAVMAQ COMERCIO DE PEÇAS LTDA;44568173000186;nome_normalizado;alta;
mrcbc982zl9aa;RB TRATOR PECAS;;false;false;0.0000;entradas_material:3;01f8f2ce-dcf3-4cb2-b266-d97c397553f9;RB TRATOR PECAS LTDA;56128863000101;nome_normalizado;alta;
mrcbcalpobzs4;REAL BOMBAS INJETORAS;;false;false;0.0000;entradas_material:4;b870bee1-168a-4cc9-909c-cc3f0df59cf9;REAL BOMBAS INJETORAS;28185636000174;nome_normalizado;alta;
mt0kmzlc8v7n3;RECOL VEÍCULOS JURUÁ;;false;false;0.0000;entradas_material:17;516d4cfb-f858-4cf9-b571-04ea4f0a2178;Recol Veículos Juruá LTDA;20316039000120;nome_normalizado;alta;"tambem esta na tabela 6.1; casou antes pelo nome normalizado (sem acento e sem LTDA)"
mrcbcevn8r151;REI DOS PNEUS - MATRIZ;;false;false;0.0000;entradas_material:7;3907ef80-b821-4723-962c-908c9c388602;F. PELEGRINELLI LTDA;22793733000163;nome_normalizado;alta;casou pelo nome_fantasia REI DOS PNEUS - MATRIZ
mrcbcltr374kh;RONDOBRAS;;false;false;0.0000;entradas_material:51;e0d63759-9d25-4630-b67b-318d9184d146;FORTBRAS AUTOPECAS SA - RONDOBRAS;22761584011780;nome_normalizado;alta;casou pelo nome_fantasia RONDOBRAS
mrcbcqsmcnc6x;SAPECA AUTO PECAS LTDA;;false;false;0.0000;entradas_material:6;d7086fd0-eebc-4189-af30-3bcffb90965c;SAPECA AUTO PECAS LTDA;02680476000499;nome_normalizado;alta;
mt0iack987u4o;SETRAC;41.813.258/0001-94;false;false;0.0000;entradas_material:18;d835f2d8-ae82-4174-9274-01cbcf334fe7;SERTRAC;41813258000194;cnpj;certa;"CNPJ 41.813.258/0001-94 bate com ""SERTRAC"". ATENCAO: pelo nome casaria com OUTRO cadastro, 80661316-a777-4090-bac5-db42e9121eb5 ""SETRAC"" sem CNPJ. Pela regra venceu o CNPJ; o ERP parece ter a mesma empresa duas vezes"
mrcbd39t17cny;Sotreq;;false;false;0.0000;entradas_material:2;dea010ce-722c-43d7-9eee-7226fb5965ec;SOTREQ S/A;61064689003390;nome_normalizado;alta;casou pelo nome_fantasia Sotreq
mrcbd4mw5e89a;SulPeças Ltda;;false;false;0.0000;entradas_material:2;fdc6bc3e-a757-4f1f-a602-330dbc9692a8;SulPeças Ltda;52068491000106;nome_normalizado;alta;
mrcbd614yckpv;SUPER CENTRO AUTOMOTIVO;;false;false;0.0000;entradas_material:4;29595f19-e397-477e-b2b8-8810362ef798;SUPER CENTRO AUTOMOTIVO;07524217000107;nome_normalizado;alta;
mrcbd8tbh1voe;SUPORTE MÁQUINAS;;false;false;0.0000;entradas_material:3;ca8f6c5e-5e52-4f7c-a345-a6bd048c38e7;SUPORTE MÁQUINAS;08777931000293;nome_normalizado;alta;
mrgn4lwhgmiuo;Transportadora Soares;;true;false;0.0000;fretes:32,movimentos:85,pagamentos_frete:1,saidas_combustivel:52;7ad55bd7-4b56-45b7-8aff-3e9398aff8b0;SOARES TRANSPORTE LTDA;54023474000188;tabela_6_1;alta;
mrjlpqn9bd9zs;TRATOR PRIME;;false;false;0.0000;entradas_material:5;6ccdf447-4f0f-43cb-954e-514fc7ab0670;TRACTOR PRIME;54691419000166;tabela_6_1;alta;grafia TRATOR x TRACTOR
mrcbdk53kpmke;TRATORDICO PEÇAS;;false;false;0.0000;entradas_material:1;bc87722a-4f8e-4fe2-a85a-c17e7d8f1880;TRATORDICO PEÇAS;;nome_normalizado;alta;ERP sem CNPJ
mrc6gh9nrm1tq;Vale do Abunã;;false;false;0.0000;pedidos_material:1;6077a1cb-843e-4c27-bc68-8f8aa4fa05f1;PEDREIRA VALE DO ABUNA;04087224000133;tabela_6_1;alta;
mlplpjfr87x0j;Vibra Energia S.A;34.274.233/0097-46;false;false;0.0000;entradas_combustivel:45;2f2b25ae-8f39-45a4-a44f-be743168095c;VIBRA ENERGIA S.A;34274233009746;cnpj;certa;"CNPJ e nome batem. Na origem existe outro ""VIBRA ENERGIA S.A"" (mrcbdv7m0g3gl) que nao e usado"
mrcbe3mwmi8j7;XAPURI MOTORS;;false;false;0.0000;entradas_material:25;d3f5314e-cd6d-4918-9b31-aa0d499dc140;ACRE COMERCIO E ADMINISTRACAO LTDA;63605653000114;nome_normalizado;alta;casou pelo nome_fantasia XAPURI MOTORS. A mesma razao social tem outra filial no ERP, 7b81db62 fantasia XAPURI TOYOTA (CNPJ 63605653000386)
