gestao_obras_id;nome_gestao_obras;unidade_gestao_obras;tipo_oleo_gestao_obras;usos;saldo_origem;erp_insumo_id;erp_codigo;erp_nome;erp_unidade;erp_categoria;metodo;confianca;observacao
mt0i8hes4c42f;BRAÇADEIRA - CXP24;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;alta;nenhum parecido no ERP | sugestao: categoria Peças e componentes (nenhum insumo do ERP comeca com BRACADEIRA), unidade un
mt0i2s7lizzn2;BRAÇADEIRA TUBO INJETOR 320C - B3;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;alta;nenhum parecido no ERP | sugestao: categoria Peças e componentes (nenhum insumo do ERP comeca com BRACADEIRA), unidade un
mt0i5orsp4tse;BRAÇADEIRA TUBO INJETOR 320C/CL - A27;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;alta;nenhum parecido no ERP | sugestao: categoria Peças e componentes (nenhum insumo do ERP comeca com BRACADEIRA), unidade un
mt0i6vgqm4gbv;BRAÇADEIRA TUBO INJETOR 320C/CL - B3;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;alta;nenhum parecido no ERP | sugestao: categoria Peças e componentes (nenhum insumo do ERP comeca com BRACADEIRA), unidade un
mr9rz4mjs724e4d;BUCHA;UN;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;alta;nenhum parecido no ERP | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com BUCHA), unidade un
msuja8avi5blk;BUCHA, AMORTECEDOR T;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;alta;nenhum parecido no ERP | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com BUCHA), unidade un
mrjltg0e5ury7;BUCHA BARRA ESTABILIZADORA;un;;entradas:2,os_pecas:2,os_oleos:0;0;;;;;;CRIAR;baixa;"ANTES DE CRIAR, conferir provavel par (nome quase igual): e8e9d284 BUCHA DA BARRA ESTABILIZADORA (un, A classificar) | outros parecidos: 59bdb50d 10005 BUCHA BARRA ESTABILIZADORA DIANTEIR (un, Peças e componentes); 97dabc65 960 BIELETA BARRA ESTABILIZADORA (un, Peças e componentes); 488aee3e 1078 BUCHA DO ESTABILIZADOR (un, Peças e componentes); 4ac60d3e 369 BUCHA BARRA ESTABILIZADORA GOL FOX 1.0 POLO (vb, Peças e componentes) | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com BUCHA), unidade un"
mrv74orzx3owx;BUCHA MOLA DIANTEIRA;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;media;parecidos, sem nome igual: 21db8b29 133 BUCHA DA MOLA  DIANTEIRA(BRONZE) (un, Peças e componentes) | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com BUCHA), unidade un
mtratny92s36u;CABEÇOTE DO FILTRO DIESEL;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;alta;nenhum parecido no ERP | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com CABECOTE), unidade un
mtlqnyoq4vpz9;CABO ACIONAMENTO BOMBA E TOMADA FORÇA BASCULANTE;un;;entradas:1,os_pecas:1,os_oleos:0;0;e43edf0c-dc66-4179-a233-b0a8722f2d93;;CABO ACIONAMENTO BOMBA E TOMADA FORÇA BASCULANTE;un;Peças e componentes;nome_exato;certa;
ms94nxi05f5o0;CABO FLEXÍVEL PP;m;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;alta;nenhum parecido no ERP | sugestao: categoria Elétrica (maioria dos insumos do ERP que comecam com CABO), unidade m
mu5j7wvhj68pi;CACHORRETE CHAVETA;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;media;"candidato por palavra-chave (revisar; chaveta): 519fdeef 1335M544PE252 CHAVETA (un, Peças e componentes) | sugestao: categoria Peças e componentes (nenhum insumo do ERP comeca com CACHORRETE), unidade un"
mrl89kubtlq6s;CAMARA DE AR;un;;entradas:4,os_pecas:4,os_oleos:0;0;b0e582e7-c544-4748-b3e7-5d29e1afa6da;10252;CÂMARA DE AR;un;Pneus e câmaras;nome_normalizado;alta;
mtrab1h4rrvkv;CAMARA DE AR ARO 13/14 - 175/70R;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;media;"candidato por palavra-chave (revisar; camara de ar generica): b0e582e7 10252 CÂMARA DE AR (un, Pneus e câmaras) | sugestao: categoria Pneus e câmaras (maioria dos insumos do ERP que comecam com CAMARA), unidade un"
mskivaaqsxyxy;CAMARA FREIO SPRING BRAKE CUICA EMERGENCIA HASTEL LONGA 30X30;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;alta;nenhum parecido no ERP | sugestao: categoria Pneus e câmaras (maioria dos insumos do ERP que comecam com CAMARA), unidade un
ms6lbpmtlphqo;CARTRIDGE FUEL SYST;un;;entradas:3,os_pecas:3,os_oleos:0;0;54a1f5cf-2e1e-4192-9c14-fa393212d514;1335M544PE187;CARTRIDGE,FUEL SYST;un;Peças e componentes;nome_normalizado;alta;
ms6m48z3ehi98;CHAPA DE FERRO;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;media;"parecidos, sem nome igual: ceed21a0 1335M141 CHAPA GERDAU FERRO LQ A36 3/16  1,50X6MT 175KG (h, Peças e componentes) | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com CHAPA), unidade un | unica peca do Deposito Central (Silo) mpah58owqqm1a: 1 entrada de 1 un R$ 450,00 em 30/07 e 1 os_pecas na OS-2026-0061 (R$ 450,00); saldo 0"
mst16ecdzecou;CHAPA PLASTICA LAMINADA - FORRO;un;;entradas:1,os_pecas:3,os_oleos:0;0;;;;;;CRIAR;alta;nenhum parecido no ERP | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com CHAPA), unidade un
mt0l5u6gkxw0c;CHICOTE ETE7599;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;media;parecidos, sem nome igual: 75cb104b 1335M544PE66 CHICOTE ETE7725 (un, Peças e componentes) | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com CHICOTE), unidade un
mt0l6e0rwk8dm;CHICOTE ETE7690;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;media;parecidos, sem nome igual: 75cb104b 1335M544PE66 CHICOTE ETE7725 (un, Peças e componentes) | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com CHICOTE), unidade un
mtrdiyew43ovv;CILINDRO AUXILIAR EMBREAGEM;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;baixa;ANTES DE CRIAR, conferir provavel par (nome quase igual): 5f4cd5b9 421 CILINDRO AUXILIAR DE EMBREAGEM (un, Equipe própria) | sugestao: categoria Peças e componentes (nenhum insumo do ERP comeca com CILINDRO), unidade un
mt7h7obzbkozp;COMPRESSOR DE AR;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;media;parecidos, sem nome igual: 77b85a48 114 COMPRESSOR DE AR 352CC (un, Peças e componentes) | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com COMPRESSOR), unidade un
mr9rz4mjxn8mec2;CONJUNTO APU S/VALVULA PROTETORA;UN;;entradas:2,os_pecas:2,os_oleos:0;0;;;;;;CRIAR;media;"candidato por palavra-chave (revisar; APU): 5a42c168 1335M544PE1 UNIDADE TRAT AR APU AXOR ATEGO (un, Peças e componentes) | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com CONJUNTO), unidade un"
ms6ldxymd7tvi;CONJUNTO DE VEDAÇÕES FILTRO;un;;entradas:2,os_pecas:2,os_oleos:0;0;;;;;;CRIAR;alta;nenhum parecido no ERP | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com CONJUNTO), unidade un
mskj018f6b5rs;CONJUNTO FILTRO COMBUSTIVEL CABEÇOTE C/ COPO;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;alta;nenhum parecido no ERP | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com CONJUNTO), unidade un
ms0gaunv99zv5;CONJUNTO LUBRIFICANTE;un;;entradas:3,os_pecas:3,os_oleos:0;0;57ffa182-33dd-4972-b55b-38df8dd5a661;456;CONJUNTO LUBRIFICANTE;un;Lubrificantes e graxas;nome_exato;certa;
mr9rz4mjsfalf56;CORREIA 79K1530;UN;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;media;"parecidos, sem nome igual: 9aabcdf7 179 CORREIA 9PK 1560 (un, Peças e componentes); 73551dc0 1335M365 CORREIA 8PK1370 (un, Peças e componentes); 94155510 1335M453 CORREIA 8PK1750 (un, Peças e componentes) | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com CORREIA), unidade un"
mr9rz4mj4lg1qwx;CORREIA 89K1625;UN;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;media;"parecidos, sem nome igual: cc9cdc0b 10165 CORREIA 8PK1420 (un, Peças e componentes); 94155510 1335M453 CORREIA 8PK1750 (un, Peças e componentes); fff28097 1335M312 CORREIA 8PK1852 (un, Peças e componentes) | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com CORREIA), unidade un"
mt3c8spjja4oq;CORREIA DO ALTERNADOR;un;;entradas:1,os_pecas:1,os_oleos:0;0;27eb7884-cea1-4303-9855-cea7688faa1e;;CORREIA DO ALTERNADOR;un;A classificar;nome_exato;certa;
mrjltpyf0q2bg;COXIM DO TAMBOR;un;;entradas:1,os_pecas:1,os_oleos:0;0;c34a7b55-e290-4519-823f-791680ddc988;684;COXIM DO TAMBOR;un;Peças e componentes;nome_exato;certa;
mr9rz4mjepg7nrz;COXIM MOTOR LADO DIREITO;UN;;entradas:2,os_pecas:2,os_oleos:0;0;;;;;;CRIAR;alta;nenhum parecido no ERP | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com COXIM), unidade un
mt0k7kasgzu5a;CUICA DUPLA 16X24;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;media;"candidato por palavra-chave (revisar; mesma medida 16X24 em outro tipo, ou dupla em outra medida): dbda3917 1335M544PE25 CUICA PINÇA FREIO DISCO 16X24 MB (un, Peças e componentes); 81ea53f4 760 CUICA DUPLA 30X30 (un, Peças e componentes) | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com CUICA), unidade un"
mr9fb6jyozvjj;CUICA DUPLA 30X30;un;;entradas:1,os_pecas:1,os_oleos:0;0;81ea53f4-7cf3-47cc-8a81-1aed12d9a5bc;760;CUICA DUPLA 30X30;un;Peças e componentes;nome_exato;certa;
mtrb1mcfzjzkj;DENTE AM AÇO FUNDIDO;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;baixa;"candidato por palavra-chave (revisar; AM x EM parece erro de digitacao): c8270e4e DENTE EM AÇO FUNDIDO ESCAVADEIRA (un, A classificar) | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com DENTE), unidade un"
mrxwcmhnw2foi;DESLIZANTE ESFREGA MOVEL GUERRA 2003;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;media;"candidato por palavra-chave (revisar; deslizante Guerra): 9dc94c21 DESLIZANTE CARRETA GUERRA DT/TR (un, Manutenção e serviços) | sugestao: categoria Peças e componentes (nenhum insumo do ERP comeca com DESLIZANTE), unidade un"
ms950bo5m5jtf;DIAFRAGMA CUICA;un;;entradas:2,os_pecas:3,os_oleos:0;0;;;;;;CRIAR;baixa;ANTES DE CRIAR, conferir provavel par (nome quase igual): 066f8e6e 55 Diafragma da cuica (un, Peças e componentes) | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com DIAFRAGMA), unidade un
mskjn41f4o7ja;ELEMENTO 1W6541;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;alta;nenhum parecido no ERP | sugestao: categoria Filtros (maioria dos insumos do ERP que comecam com ELEMENTO), unidade un
mt7qbhtg9vxvc;ELEMENTO DE FILTRO;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;baixa;"ANTES DE CRIAR, conferir provavel par (nome quase igual): 70dc87a0 1335M361 ELEMENTO FILTRO DE A (un, Filtros) | outros parecidos: eb6b6c17 1335M360 ELEMENTO FILTRO D (un, Filtros); 0563a440 451 ELEMENTO DO FILTRO DIESEL (un, Combustível); 5d54b427 452 ELEMENTO FILTRO DE  AR CABINE (un, Filtros); fbc5b3e3 1335M485 FILTRO ELEMENTO (un, Filtros) | sugestao: categoria Filtros (maioria dos insumos do ERP que comecam com ELEMENTO), unidade un"
ms0g8iy2y9al2;ELEMENTO DO FILTRO D;un;;entradas:2,os_pecas:2,os_oleos:0;0;;;;;;CRIAR;baixa;"ANTES DE CRIAR, conferir provavel par (nome quase igual): eb6b6c17 1335M360 ELEMENTO FILTRO D (un, Filtros) | outros parecidos: 0563a440 451 ELEMENTO DO FILTRO DIESEL (un, Combustível); 70dc87a0 1335M361 ELEMENTO FILTRO DE A (un, Filtros) | sugestao: categoria Filtros (maioria dos insumos do ERP que comecam com ELEMENTO), unidade un"
msuj9dsxti97b;ELEMENTO, FILTRO DE;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;baixa;"ANTES DE CRIAR, conferir provavel par (nome quase igual): 70dc87a0 1335M361 ELEMENTO FILTRO DE A (un, Filtros); eb6b6c17 1335M360 ELEMENTO FILTRO D (un, Filtros) | outros parecidos: 0563a440 451 ELEMENTO DO FILTRO DIESEL (un, Combustível); 5d54b427 452 ELEMENTO FILTRO DE  AR CABINE (un, Filtros); fbc5b3e3 1335M485 FILTRO ELEMENTO (un, Filtros) | sugestao: categoria Filtros (maioria dos insumos do ERP que comecam com ELEMENTO), unidade un"
ms0gb2po0573p;ELEMENTO FILTRO DE A;un;;entradas:2,os_pecas:2,os_oleos:0;0;70dc87a0-3b1d-48e3-af84-ed1491df7b24;1335M361;ELEMENTO FILTRO DE A;un;Filtros;nome_exato;certa;
ms6leeznztsg4;ELEMENTO FILTRO OLEO;un;;entradas:3,os_pecas:3,os_oleos:0;0;;;;;;CRIAR;media;"parecidos, sem nome igual: eb6b6c17 1335M360 ELEMENTO FILTRO D (un, Filtros); 70dc87a0 1335M361 ELEMENTO FILTRO DE A (un, Filtros) | sugestao: categoria Filtros (maioria dos insumos do ERP que comecam com ELEMENTO), unidade un"
mr9rz4mjd77l2e0;EMBREAGEM ELETRO MAGNETICA RADIADOR;UN;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;media;"candidato por palavra-chave (revisar; embreagem do radiador, mas viscosa x eletromagnetica): e0583c67 1184 EMBREAGEM VISCOSA RADIADOR (un, Peças e componentes) | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com EMBREAGEM), unidade un"
msnpwnipdnmzq;ENGATE RÁPIDO 1/2 MM;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;baixa;"ANTES DE CRIAR, conferir provavel par (nome quase igual): 80098042 10043 ENGATE RAPIDO 12MM (un, Peças e componentes) | outros parecidos: 17159059 10044 ENGATE RAPIDO 10MM (un, Peças e componentes); 5722769d 1290 ENGATE RAPIDO 6 MM (un, Peças e componentes); 93e5fcd7 1289 ENGATE RAPIDO 8 MM (un, Peças e componentes) | sugestao: categoria Hidráulica (maioria dos insumos do ERP que comecam com ENGATE), unidade un"
mskjzshig0ylt;ESPELHO RETROVISOR;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;media;"candidato por palavra-chave (revisar; retrovisor): f8eca904 259 RETROVISOR EXTERNO (un, Peças e componentes) | sugestao: categoria Elétrica (maioria dos insumos do ERP que comecam com ESPELHO), unidade un"
ms7mlj0k348zj;FAROL;un;;entradas:2,os_pecas:2,os_oleos:0;0;;;;;;CRIAR;media;"candidato por palavra-chave (revisar; farol sem lado na origem): 4fa52cb9 1335M544PE69 FAROL AUXILIAR (un, Equipe própria); 50c45dd4 1335M544PE70 FAROL DIREITO (un, A classificar); 0004f7fa 1335M105 FAROL ESQUERDO (un, Peças e componentes) | sugestao: categoria Peças e componentes (maioria dos insumos do ERP que comecam com FAROL), unidade un"
mt0km78zl8rsd;FILTRO;un;;entradas:2,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;alta;nenhum parecido no ERP | sugestao: categoria Filtros (maioria dos insumos do ERP que comecam com FILTRO), unidade un
mt0kmcnf2d382;FILTRO CARVÃO;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;alta;nenhum parecido no ERP | sugestao: categoria Filtros (maioria dos insumos do ERP que comecam com FILTRO), unidade un
msnq3jwdedpu4;FILTRO COMBUSTIVEL;un;;entradas:7,os_pecas:7,os_oleos:0;0;b29b9779-a5de-4b3e-89c4-3561b98ba7b1;6062;Filtro Combustivel;un;Combustível;nome_normalizado;alta;
mu1c196k8xb86;FILTRO COMBUSTÍVEL 1R-0751;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;baixa;"ANTES DE CRIAR, conferir provavel par (nome quase igual): 92f9fa58 10059 FILTRO DE COMBUSTÍVEL 1R0751 (un, Combustível) | outros parecidos: ce91d5f2 10058 FILTRO DE COMBUSTÍVEL 1R0750 (un, Combustível); b29b9779 6062 Filtro Combustivel (un, Combustível); d254e4d2 148 FILTRO COMBUSTIVEL CAT PSC745 (un, Combustível); 7b1bb581 959 FILTRO COMBUSTIVEL MOTOR (un, Combustível) | sugestao: categoria Filtros (maioria dos insumos do ERP que comecam com FILTRO), unidade un"
mtlqdzyy09qsw;FILTRO COMBUSTÍVEL 6QE201511C;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;alta;nenhum parecido no ERP | sugestao: categoria Filtros (maioria dos insumos do ERP que comecam com FILTRO), unidade un
ms3cmbjdzusb1;FILTRO COMBUSTÍVEL CAT;un;;entradas:1,os_pecas:1,os_oleos:0;0;;;;;;CRIAR;baixa;"ANTES DE CRIAR, conferir provavel par (nome quase igual): b29b9779 6062 Filtro Combustivel (un, Combustível) | outros parecidos: b52514ea 444 FILTRO COMBUSTIVEL BOSCH (un, Combustível); 7b1bb581 959 FILTRO COMBUSTIVEL MOTOR (un, Combustível); d254e4d2 148 FILTRO COMBUSTIVEL CAT PSC745 (un, Combustível); ace2dfdc 1335M544PE232 FILTRO COMBUSTIVEL CATERPILLAR (un, Combustível) | sugestao: categoria Filtros (maioria dos insumos do ERP que comecam com FILTRO), unidade un"
